ws_id,wsdl_address,ws_name,provider,country
0,http://orange-cagnes.dyndns.org/axis/services/wSInvoker?wsdl,WSInvokerService,dyndns.org,France
1,http://aquest.dyndns.org/CaptchaAudioWS/CaptchaAudio.asmx?WSDL,CaptchaAudio,dyndns.org,Japan
2,http://dinoch.dyndns.org:7070/axis1.2/services/EchoService?wsdl,Echo,dyndns.org,United States
3,http://www.smsglobal.com.au/mobileworks/soapserver.php?wsdl,MobileWorks,smsglobal.com.au,Australia
4,http://agiv.be/gis/localService.asmx?WSDL,localService,agiv.be,Belgium
5,http://biomoby.org/services/wsdl/ualberta.ca/BacMapGetSpeciesCard,BacMapGetSpeciesCard,ualberta.ca,Canada
6,http://biomoby.org/services/wsdl/ualberta.ca/BacMapGetGeneCard,BacMapGetGeneCardSer,ualberta.ca,Canada
7,http://biomoby.org/services/wsdl/ualberta.ca/getColiCardIDs_by_Cofactor,getColiCardIDs_by_Co.,ualberta.ca,Canada
8,http://biomoby.org/services/wsdl/ualberta.ca/getColiCardIDsByKeyword,getColiCardIDsByKeyword,ualberta.ca,Canada
9,http://biomoby.org/services/wsdl/ualberta.ca/BacMapGetChromosomeSequence,BacMapGetChromosomeS...,ualberta.ca,Canada
10,http://biomoby.org/services/wsdl/ualberta.ca/getColiCardIDs_by_blattner_number,getColiCardIDs_by_bl...,ualberta.ca,Canada
11,http://www.byjg.com.br/xmlnuke-php/webservice.php/xmlnuke/samples/samplewebservice?WSDL,SampleWebservice,byjg.com.br,Canada
12,http://biomoby.org/services/wsdl/bar.utoronto.ca/getAGI_SubCellLocalisationImage,getAGI_SubCellLocal,utoronto.ca,Canada
13,http://www.comriesoftware.net/cshitcounter/hitcounter.asmx?WSDL,HitCounter,comriesoftware.net,Canada
14,http://ghettodriveby.com/soap/?wsdl,RandomGoogleSearchService,ghettodriveby.com,Canada
15,http://fucai.qd.sd.cn/Lottery/WebService/MultiBuyService.asmx?WSDL,MultiBuyService,qd.sd.cn,China
16,http://system.fjjs.gov.cn/signonwebservice2005/JSService.asmx?wsdl,JSService,fjjs.gov.cn,China
17,http://www.smartclub.com.cn/webservice/online.asmx?WSDL,online,smartclub.com.cn,China
18,http://www.uestc.edu.cn/web3/NewsCenterService.asmx?WSDL,NewsCenterService,uestc.edu.cn,China
19,http://sms.18gw.com/SmsWebService.asmx?WSDL,SmsWebService,18gw.com,China
20,http://59.60.148.150/bpservice/bpservice.asmx?WSDL,BpService,59.60.148.150,China
21,http://www.boolu.com/CMSInterFace/CMSSendMsg.asmx?WSDL,CMSSendMsg,boolu.com,China
22,http://yishan.cc/QueryAutoComplete.asmx?WSDL,QueryAutoComplete,yishan.cc,China
23,http://dinoch.dyndns.org:7070/axis1.2/services/EchoServicePort?wsdl,EchoService,dyndns.org,United States
24,http://biomoby.org/services/wsdl/lipm-bioinfo.toulouse.inra.fr/MsfToPhylip,MsfToPhylipService,inra.fr,France
25,http://biomoby.org/services/wsdl/iant.toulouse.inra.fr/Cap3FromXml,Cap3FromXmlService,inra.fr,France
26,http://biomoby.org/services/wsdl/iant.toulouse.inra.fr/iANTBlast,iANTBlastService,inra.fr,France
27,http://biomoby.org/services/wsdl/www.heliagene.org/HeliageneGetSequence,HeliageneGetSequence...,heliagene.org,France
28,http://stats.oecd.org/OECDStatWS_Authentication/OECDStatWS_Authentication.asmx?WSDL,OECD.Stat_x0020_Data...,oecd.org,France
29,http://biomoby.org/services/wsdl/mpiz-koeln.mpg.de/get_other_database_accessions_by_database_accession,get_other_database_a...,mpg.de,Germany
30,http://biomoby.org/services/wsdl/mpiz-koeln.mpg.de/EBI_InterproScan,EBI_InterproScanServ...,mpg.de,Germany
31,http://dinoch.dyndns.org:7070/axis1.2/services/EchoService?wsdl,Echo,dyndns.org,United States
32,http://mobilenavigation.siemensvdo.com/mnp/services/Version?wsdl,VersionService,siemensvdo.com,Germany
33,http://www.rewisit.de:8080/axis/RewisitAdd.jws?wsdl,RewisitAddService,rewisit.de,Germany
34,http://biomoby.org/services/wsdl/ipb-halle.de/MassBank_Query_PeakList,MassBank_Query_PeakL...,ipb-halle.de,Germany
35,http://www.glycosciences.de/services/KeywordService?wsdl,KeywordQueryService,glycosciences.de,Germany
36,http://guidgen.com/WS.asmx?WSDL,WS,guidgen.com,Germany
37,http://www.greatvessel.com/PortalService.asmx?WSDL,PortalService,greatvessel.com,Ireland
38,http://profiles.roshd.ir/security.asmx?WSDL,Security,roshd.ir,Islamic Republic of Iran
39,http://www.e-voluzione.it/cup.asmx?wsdl,Service,e-voluzione.it,Italy
40,http://webservices.imel.eu/MastercardAutenticazione.asmx?WSDL,MastercardAutenticaz...,imel.eu,Italy
41,http://aida.science.uva.nl:8888/axis/SynsetServer.jws?wsdl,SynsetServerService,uva.nl,Netherlands
42,http://aida.science.uva.nl:8888/axis/services/RepositoryWS?wsdl,RepositoryWSService,uva.nl,Netherlands
43,http://webservicesls.socard.nl/services/mail.asmx?WSDL,Mail,socard.nl,Netherlands
44,http://www.independer.com/thema/common/webservices/contentproviderservice.asmx?WSDL,ContentProviderServi...,independer.com,Netherlands
45,http://pwlcentral.co.nz/onlineorder.asmx?WSDL,COnlineOrder,pwlcentral.co.nz,New Zealand
